"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČ NEGA RAČ UNA PRORAČ UNA Zaključni račun proračuna Republike Slovenija za leto 2007","II2 ",""
""," (1) Odhodki in drugi izdatki proračuna Republike Slovenije so bili realizirani v zneskih, kot sledi: Vir podatkov: Ministrstvo za finance, Direktorat za javno računovodstvo","II    POSEBNI DEL",""
"","NEVLADNI PRORAČUNSKI UPORABNIKI","Bilanca odhodkov",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","v evrih",""
"","","RE/VP",""
"","","RE/REB",""
"","","Rebalans Veljavni Realizacija",""
""," SPU/PU/PPP/GPR/PPR/PP/K3","2007",""
"","","(4=3/1) (5=3/2)",""
"","","(1) (2) (3)",""
"11","PREDSEDNIK REPUBLIKE SLOVENIJE","3889138 3759416 3750649 96,4 99,8",""
"1111","Predsednik Republike Slovenije","3889138 3759416 3750649 96,4 99,8",""
"01","POLITIČNI SISTEM","3889138 3759416 3750649 96,4 99,8",""
"0101","Politični sistem","3889138 3759416 3750649 96,4 99,8",""
"01011101","Dejavnost Urada predsednika Republike Slovenije","3651210 3521488 3518150 96,4 99,9",""
"","","1814452 1812500 99,9 100,0",""
"3000","Plače","1812597",""
"400","Plače in drugi izdatki zaposlenim","1454076 1474657 1474572 101,4 100,0",""
"401","Prispevki delodajalcev za socialno varnost","238804 239898 239886 100,5 100,0",""
"402","Izdatki za blago in storitve","121572 98042 98042 80,7 100,0",""
"","","1532109 940051 61,4 99,7",""
"3324","Materialni stroški","942951",""
"402","Izdatki za blago in storitve","1532109 942951 940051 61,4 99,7",""
"2815","Investicije in investicijsko vzdrževanje državnih organov","171105 670172 670172 391,7 100,0",""
"420","Nakup in gradnja osnovnih sredstev","171105 670172 670172 391,7 100,0",""
"6033","Odlikovanja Republike Slovenije","133544 78490 78149 58,5 99,6",""
"402","Izdatki za blago in storitve","133544 78490 78149 58,5 99,6",""
"1191","Prevozna sredstva - prodaja premoženja","0 16900 16900 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","0 16900 16900 - 100,0",""
"8700","Prevozna sredstva - sredstva odškodnine","0 378 378 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","0 378 378 - 100,0",""
"01011102","Dejavnost bivšega predsednika Republike Slovenije","237928 237928 232499 97,7 97,7",""
"1027","Plače pisarne bivšega predsednika Republike Slovenije","137514 139369 139369 101,4 100,0",""
"400","Plače in drugi izdatki zaposlenim","112658 115305 115305 102,4 100,0",""
"401","Prispevki delodajalcev za socialno varnost","18091 18638 18638 103,0 100,0",""
"402","Izdatki za blago in storitve","6765 5426 5426 80,2 100,0",""
"1046","Materialni stroški pisarne bivšega predsednika Republike Slovenije","92067 94901 89478 97,2 94,3",""
"402","Izdatki za blago in storitve","92067 94901 89478 97,2 94,3",""
"1061","Investicije in investicijsko vzdrževanje pisarne bivšega predsednika Republike Slovenije","8347 3658 3651 43,7 99,8",""
"420","Nakup in gradnja osnovnih sredstev SPU/PU/PPP/GPR/PPR/PP/K3","8347 3658 3651 43,7 99,8",""
"","","(5=3/2)",""
"","","(1) (2) (3) (4=3/1)",""
"121","","25619266 94,5 94,2",""
